sat,tothrs,cumgpa,season,frstsem,crsgpa,verbmath,trmgpa,hssize,hsrank,female,black,white,hsperc,football
920,31,2.25,0,0,2.646399975,0.48387,1.5,10,4,1,0,0,40,0
780,28,2.029999971,0,0,2.867899895,0.813950002,2.200000048,123,102,0,0,1,82.92682648,0
810,0,0,0,1,2.763400078,0.883719981,1.600000024,119,42,0,0,1,35.29411697,0
1080,0,0,1,1,2.514899969,0.800000012,2,318,31,0,0,1,9.748427391,0
960,91,2.349999905,1,0,2.853499889,1,2.799999952,383,66,0,0,1,17.2323761,0
790,0,0,1,1,2.413700104,1.135139942,1.289999962,44,27,0,1,0,61.36363602,0
820,25,2.119999886,1,0,2.629699945,0.782609999,1.5,344,36,1,1,0,10.4651165,0
820,30,1.929999948,1,0,2.611399889,0.906979978,2.5,228,155,0,0,1,67.98245239,0
1040,0,0,1,1,2.398299932,0.925930023,2.180000067,91,8,0,0,1,8.791209221,0
730,34,1.970000029,1,0,2.798599958,0.780489981,1.75,482,273,0,1,0,56.63900375,1
780,59,2.380000114,1,0,2.895499945,0.695649981,2.5,78,17,0,0,1,21.79487228,1
830,62,2.00999999,1,0,2.941999912,1.024389982,1.75,196,54,0,1,0,27.55101967,0
710,120,2.019999981,1,0,2.619800091,1.088240027,0.5,300,226,0,1,0,75.33333588,1
980,35,2.079999924,1,0,2.405800104,0.921570003,1.75,152,45,0,1,0,29.60526276,1
740,93,2,1,0,2.424999952,0.897440016,1.25,312,161,0,1,0,51.60256577,1
1180,93,3.029999971,1,0,2.909699917,0.873019993,2.75,637,255,0,0,1,40.03139877,0
700,26,2.339999914,1,0,3.124900103,1,2.5,32,22,0,0,1,68.75,0
520,72,1.580000043,1,0,2.834599972,1,2.25,462,358,0,0,1,77.48917389,1
720,39,1.75999999,1,0,2.597599983,0.846149981,1.25,283,76,0,1,0,26.85512352,1
940,0,0,1,1,2.680900097,0.773580015,2.630000114,194,85,1,0,1,43.81443405,0
960,0,0,1,1,2.923799992,0.777779996,2.059999943,447,320,0,1,0,71.58836365,1
870,27,2.029999971,1,0,2.842799902,0.851059973,2.079999924,371,259,0,0,1,69.81131744,0
890,25,2.440000057,1,0,2.628900051,0.779999971,2.5,124,50,0,0,1,40.32258224,0
840,85,2.069999933,0,0,2.716399908,1,2,116,16,0,0,1,13.79310322,0
810,30,2.700000048,1,0,2.510499954,1.076920033,2.5,227,56,1,0,1,24.66960335,0
820,31,2.220000029,1,0,2.797800064,1.102560043,2.329999924,571,344,0,0,0,60.24518204,0
970,23,2.859999895,0,0,2.577100039,0.672410011,1.75,566,83,0,0,1,14.66431141,0
790,0,0,1,1,2.702500105,1.078950047,2.819999933,597,72,0,0,1,12.06030178,1
800,0,0,1,1,2.664799929,0.818180025,2.130000114,310,95,1,0,1,30.64516068,0
680,33,2.930000067,1,0,2.899399996,0.743589997,2.559999943,328,122,1,0,1,37.19512177,0
850,0,0,1,1,2.832799911,0.808510005,2.710000038,73,5,1,0,1,6.849315166,0
820,80,2.269999981,0,0,2.897900105,0.708329976,2.200000048,131,98,0,0,1,74.80915833,0
1120,0,0,1,1,2.168299913,0.671639979,2.329999924,488,20,0,0,1,4.098360538,0
450,1,4,1,0,2.918800116,0.800000012,1.429999948,118,46,0,1,0,38.9830513,1
880,26,2.339999914,1,0,3.171999931,1.095239997,2.410000086,407,70,1,0,1,17.19901657,0
1010,28,1.5,1,0,2.804699898,1.148939967,1.269999981,106,55,0,0,1,51.88679123,0
920,0,0,0,1,2.337300062,1.044440031,1.860000014,149,91,0,0,1,61.07382584,0
830,70,1.909999967,1,0,2.904700041,0.844439983,2.799999952,200,84,0,1,0,42,0
590,37,2.180000067,1,0,2.541300058,0.685710013,0.5,480,337,0,1,0,70.20833588,1
500,0,0,1,1,2.86500001,1.272729993,1.210000038,457,329,0,0,1,71.99124908,0
1050,57,2.609999895,1,0,2.624900103,1.058820009,2.809999943,160,98,0,0,1,61.25,0
570,67,1.860000014,1,0,2.745500088,0.965520024,1,324,187,0,1,0,57.71604919,1
970,64,3.180000067,1,0,2.609600067,0.763639987,3.400000095,5,1,1,0,1,20,0
650,40,2.25,1,0,2.631500006,0.805559993,2,206,57,0,0,1,27.6699028,1
1140,56,2.670000076,1,0,2.785099983,0.583329976,2.400000095,241,24,0,0,1,9.958506584,0
1180,69,2.980000019,1,0,2.921999931,1.185189962,3.470000029,469,36,0,0,1,7.675906181,0
770,16,1.870000005,1,0,2.898699999,0.833329976,2,486,397,0,0,1,81.6872406,0
960,0,0,1,1,2.520200014,0.882350028,3.470000029,430,65,1,0,1,15.11627865,0
720,0,0,0,1,2.67840004,0.945949972,2,430,230,1,0,0,53.4883728,0
750,0,0,0,1,2.969199896,1.083330035,1.919999957,341,270,0,0,1,79.17888641,0
960,32,2.900000095,1,0,2.789200068,0.882350028,3.309999943,10,3,1,0,1,30,0
970,67,2.039999962,1,0,2.69749999,0.732140005,2,10,3,0,0,1,30,1
